Time, Fire-Intensity, Flame-Con, Coarse-Con, Duff-Con, Litter-Fuel, Litter-Con, 1Hr-Fuel, 1Hr-Con, 10Hr-Fuel, 10Hr-Con, 100Hr-Fuel, 100Hr-Con, 1kHr-Fuel, 1kHr-Con ,CO2 ,CO ,CH4 ,NOx-as-NO ,SO2 ,PM2.5 ,PM10
Seconds,Kw/sq.m,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac,lb/ac
  60, 127.833, 3609.7761, 0.0000, 343.5984, 1800.0000, 1800.0000, 400.0000, 338.8916, 1599.9999, 270.8845, 2000.0000, 0.0000, 6000.0000, 0.0000, 6225.54150,  580.57513,   28.99725,    7.45156,    4.43217,  100.95110,  119.20896
  75, 33.741, 255.1921, 0.0000, 85.8996, 0.0000, 0.0000, 61.1084, 58.3022, 1329.1155, 137.8391, 2000.0000, 38.3720, 6000.0000, 20.6787,  520.53198,   57.74367,    2.51028,    0.56807,    0.42179,   10.21790,   12.06325
  90, 25.512, 186.5117, 0.0000, 85.8996, 0.0000, 0.0000, 2.8062, 2.8062, 1191.2765, 127.0146, 1961.6278, 36.8700, 5979.3208, 19.8210,  410.61691,   48.46958,    2.00742,    0.43068,    0.34897,    8.62414,   10.18096
 105, 22.356, 169.2861, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 1064.2618, 114.6287, 1924.7579, 35.5245, 5959.5005, 19.1330,  383.04932,   46.14356,    1.88130,    0.39622,    0.33071,    8.22441,    9.70886
 120, 20.532, 155.4708, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 949.6332, 102.4352, 1889.2334, 34.4351, 5940.3677, 18.6004,  360.93936,   44.27804,    1.78015,    0.36858,    0.31606,    7.90381,    9.33023
 135, 19.339, 146.4400, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 847.1979, 94.7398, 1854.7983, 33.5276, 5921.7671, 18.1726,  346.48666,   43.05859,    1.71403,    0.35052,    0.30648,    7.69425,    9.08273
 150, 18.356, 138.9911, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 752.4581, 88.3820, 1821.2706, 32.7501, 5903.5947, 17.8590,  334.56552,   42.05275,    1.65949,    0.33562,    0.29859,    7.52139,    8.87858
 165, 17.452, 132.1457, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 664.0762, 82.4955, 1788.5205, 32.0628, 5885.7354, 17.5874,  323.61026,   41.12840,    1.60937,    0.32192,    0.29133,    7.36254,    8.69097
 180, 16.575, 125.5074, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 581.5806, 76.7463, 1756.4578, 31.4389, 5868.1484, 17.3222,  312.98648,   40.23201,    1.56076,    0.30864,    0.28429,    7.20849,    8.50904
 195, 15.700, 118.8849, 0.0000, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 504.8342, 70.9432, 1725.0188, 30.8607, 5850.8257, 17.0811,  302.38791,   39.33776,    1.51227,    0.29539,    0.27727,    7.05481,    8.32753
 210, 14.820, 95.3639, 16.8574, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 433.8911, 65.0481, 1694.1581, 30.3158, 5833.7451, 16.8574,  288.48615,   40.02293,    1.57511,    0.24834,    0.25233,    7.06542,    8.33881
 225, 13.922, 88.7697, 16.6466, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 368.8430, 58.9740, 1663.8422, 29.7957, 5816.8872, 16.6466,  277.63596,   39.08421,    1.52389,    0.23515,    0.24534,    6.90544,    8.14989
 240, 12.988, 81.9040, 16.4451, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 309.8690, 52.6102, 1634.0465, 29.2938, 5800.2412, 16.4451,  266.36441,   38.11097,    1.47081,    0.22141,    0.23806,    6.73947,    7.95388
 255, 12.094, 74.4179, 16.9919, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 257.2587, 45.6130, 1604.7529, 28.8049, 5783.7959, 16.9919,  255.15378,   37.22533,    1.42362,    0.20644,    0.23012,    6.58380,    7.76999
 270, 11.360, 68.5017, 17.5169, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 211.6458, 40.1776, 1575.9479, 28.3240, 5766.8037, 17.5169,  246.42488,   36.54670,    1.38762,    0.19460,    0.22385,    6.46384,    7.62827
 285, 10.744, 63.5382, 17.8151, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 171.4681, 35.6818, 1547.6239, 27.8564, 5749.2866, 17.8151,  238.90146,   35.94479,    1.35544,    0.18467,    0.21859,    6.35850,    7.50384
 300, 10.101, 58.4493, 18.0282, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 135.7864, 31.0468, 1519.7675, 27.4025, 5731.4722, 18.0282,  231.05746,   35.30644,    1.32115,    0.17449,    0.21319,    6.24744,    7.37267
 315, 9.384, 53.1636, 17.8904, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 104.7396, 26.2048, 1492.3649, 26.9588, 5713.4438, 17.8904,  222.40411,   34.56112,    1.28053,    0.16392,    0.20759,    6.12024,    7.22244
 330, 8.765, 48.2098, 17.9898, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 78.5348, 21.6875, 1465.4060, 26.5223, 5695.5532, 17.9898,  214.61618,   33.91498,    1.24564,    0.15401,    0.20233,    6.00856,    7.09054
 345, 8.268, 44.6844, 17.9192, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 56.8472, 18.5927, 1438.8838, 26.0917, 5677.5635, 17.9192,  208.87473,   33.42276,    1.21885,    0.14696,    0.19860,    5.92442,    6.99117
 360, 7.776, 41.1160, 17.7638, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 38.2545, 15.4445, 1412.7922, 25.6714, 5659.6440, 17.7638,  202.94495,   32.90530,    1.19055,    0.13982,    0.19481,    5.83649,    6.88733
 375, 7.170, 36.9528, 17.3421, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 22.8100, 12.0293, 1387.1207, 24.9235, 5641.8804, 17.3421,  195.68849,   32.24656,    1.15419,    0.13149,    0.19040,    5.72596,    6.75682
 390, 6.530, 32.3951, 17.0507, 85.8996, 0.0000, 0.0000, 0.0000, 0.0000, 10.7807, 8.0622, 1362.1971, 24.3329, 5624.5386, 17.0507,  187.98401,   31.56437,    1.11676,    0.12237,    0.18557,    5.61058,    6.62057
