#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
57,0,2,0,0,,Abies amabilis - Abies concolor Forest,FOFEM 171,1,0.9,2.1,2.8,50,5,35,2,GC,0.2,,0.35,,6,,4,,,,3,8,7
26,0,2,0,0,,Abies amabilis Giant Forest,FOFEM 171,1,0.9,2.1,2.8,50,5,35,2,GC,0.2,,0.35,,6,,4,,,,3,8,7
102,0,2,0,0,,Abies amabilis Seasonally Flooded Forest,FOFEM 171,1,0.9,2.1,2.8,50,5,35,2,GC,0.2,,0.35,,6,,4,,,,3,8,7
58,0,2,0,0,,Abies bracteata Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
59,0,2,0,0,,Abies concolor - Abies x shastensis Forest,SMFDB 031,0.57,1.29,1.65,0.87,0.79,5,35.57,2.54,GC,0.15,,0.35,,,,,,,,3,8,7
293,1,0,0,0,,Abies concolor - Populus tremuloides Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
60,1,2,0,0,,Abies concolor Forest,SMFDB 031,0.57,1.29,1.65,0.87,0.79,5,35.57,2.54,GC,0.15,,0.35,,,,,,,,3,8,7
27,0,2,0,0,,Abies concolor Giant Forest,SMFDB 031,0.57,1.29,1.65,0.87,0.79,5,35.57,2.54,GC,0.15,,0.35,,,,,,,,3,8,7
426,1,2,0,0,,Abies concolor Woodland,SMFDB 031,0.57,1.29,1.65,0.87,0.79,5,35.57,2.54,GC,0.15,,0.35,,,,,,,,3,8,7
61,0,0,3,0,,Abies fraseri - (Picea rubens) Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
294,0,2,0,0,,Abies grandis - Acer macrophyllum Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
295,1,0,0,0,,Abies grandis - Alnus rhombifolia Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
62,1,2,0,0,,Abies grandis Forest,SMFDB 079,0.6,0.28,0.79,1.13,9.2,5,51.11,2.32,GC,0.1,,0.19,,,,,,,,3,8,7
28,0,2,0,0,,Abies grandis Giant Forest,SMFDB 079,0.6,0.28,0.79,1.13,9.2,5,51.11,2.32,GC,0.1,,0.19,,,,,,,,3,8,7
103,1,2,0,0,,Abies grandis Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
89,1,0,0,0,,Abies grandis Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
427,1,2,0,0,,Abies grandis Woodland,SMFDB 079,0.6,0.28,0.79,1.13,9.2,5,51.11,2.32,GC,0.1,,0.19,,,,,,,,3,8,7
841,1,0,0,0,,Abies lasiocarpa - Acer glabrum Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
296,1,0,0,0,,Abies lasiocarpa - Larix lyallii Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
441,1,2,0,0,,Abies lasiocarpa - Pinus albicaulis Woodland,X,,,,,,,,,,,,,,,,,,,,3,8,7
297,1,0,0,0,,Abies lasiocarpa - Populus tremuloides Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
88,1,2,0,0,,Abies lasiocarpa Forest,SMFDB 081,0.6,0.24,0.67,0.89,12.5,5,41.19,1.89,GC,1,,0.35,,,,,,,,3,8,7
104,1,2,0,0,,Abies lasiocarpa Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
631,1,0,0,0,,Abies lasiocarpa Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
90,1,0,0,0,,Abies lasiocarpa Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
442,1,2,0,0,,Abies lasiocarpa Woodland,SMFDB 081,0.6,0.24,0.67,0.89,12.5,5,41.19,1.89,GC,1,,0.35,,,,,,,,3,8,7
