#FCCS Cover File; DCL Updated May 9 2016
#reg,reg,reg,reg,Num-Name,F,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG, Flame EF,Duff EF, Smolder 1K EF
#_,-,_,-,___________________________________________________________________________________________,_,------,______,------,______,------,______,------,______,------,______,------,______,------,______,------,______,---,___,---,___
P,I,,,001 Black cottonwood -- Douglas-fir -- quaking aspen riparia,x,1.61,37,2,2.7,0.2,0.2,0.8,3.5,0.5,0.5,0,3,4,5,22.94,5.74,,3,8,7
P,I,,,002 Western hemlock -- western redcedar -- Douglas-fir fores,x,1.57,45.75,3,3.76,0.16,1,2,4,2,3,6,1,3,4,16.83,4.21,WPH,3,8,7
P,I,,,003 Douglas-fir forest,x,2.16,36.72,2.55,1.42,0.31,2.5,3.5,3.6,10.7,0,0,2.5,0,0,7.32,1.83,,3,8,7
P,,,,004 Douglas-fir / ceanothus forest,x,2.27,11,1.5,5.91,0.6,0.2,0.3,3.8,0,0,0,12,7,4.5,3.01,0.75,,3,8,7
P,,,,005 Douglas-fir -- white fir forest,x,4.98,13.17,1.1,2.98,0.21,0.5,1.6,3.3,4.3,8.9,3.4,0.8,1.6,0.6,16.78,4.19,,3,8,7
P,,,,006 Oregon white oak -- Douglas-fir forest,x,1.28,4.18,0.3,2.78,0.7,0.1,0.4,0.8,2.6,2.2,0,0.3,0.7,0.7,9.79,2.45,,3,8,7
P,,,,007 Douglas-fir -- sugar pine -- tanoak forest,x,1.27,19.21,1.3,0.87,0.02,1,3.2,1.9,0.6,0.7,1.7,4.9,5.4,14.2,15.44,3.86,,3,8,7
P,,,,008 Western hemlock -- Douglas-fir -- western redcedar / vin,x,3.08,69.3,5,1.69,0.02,1,2,4,10,20,10,2,10,5,13.63,3.41,WPH,3,8,7
P,,,,009 Douglas-fir -- western hemlock -- western redcedar / vin,x,1.66,21.84,1.5,1.74,0.15,1.5,2.6,2.5,2,3.7,7,4.7,8,20,8.48,2.12,WPH,3,8,7
P,,,,010 Western hemlock -- Douglas-fir -- Sitka spruce forest,x,3.07,57,5,1.56,0.35,1.3,1,1,5,35,5,2,10,5,20.69,5.17,WPH,3,8,7
P,,,,011 Douglas-fir / western hemlock -- Sitka spruce forest,x,2.61,12,1.25,0.96,0.25,1,2,4,5,5,5,5,5,5,9.89,2.47,WPH,3,8,7
