# Version 5.9.1 Fuel Loading File - must be same number as the Fofem program's
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    001 Black Cottonwood - Douglas-fir - Quaking Aspen Riparian Forest,                         x   1.84  37.00   2.00   0.99   0.20   0.20   0.80   3.50   0.50   0.50   0.00   3.00   4.00   5.00
 PI    002 Western Hemlock - Western Redcedar - Douglas-fir Forest,                                x   1.62  45.75   3.00   2.51   0.16   1.00   2.00   4.00   2.00   3.00   6.00   1.00   3.00   4.00
 PI    003 Douglas-fir Forest, Thinning                                                            x   2.27  36.72   2.55   0.58   0.31   2.50   3.50   3.60  10.70   0.00   0.00   2.50   0.00   0.00
 P     004 Douglas-fir / Ceanothus Forest, Prescribed fire, clearcut                               x   2.27  11.00   1.50   2.83   0.60   0.20   0.30   3.80   0.00   0.00   0.00  12.00   7.00   4.50
 P     005 Douglas-fir - White Fir Forest, Fire exclusion                                          x   5.86  13.17   1.10   2.90   0.21   0.50   1.60   3.30   4.30   8.90   3.40   0.80   1.60   0.60
 P     006 Oregon White Oak - Douglas-fir Forest, Selection cut                                    x   1.50   4.18   0.30   0.92   0.70   0.10   0.40   0.80   2.60   2.20   0.00   0.30   0.70   0.70
 P     007 Douglas-fir - Sugar Pine - Tanoak Forest, Fire exclusion                                x   1.28  19.21   1.30   0.76   0.02   1.00   3.20   1.90   0.60   0.70   1.70   4.90   5.40  14.20
 P     008 Western Hemlock - Douglas-fir - Western Redcedar / Vine Maple Forest,                   x   3.11  69.30   5.00   0.94   0.02   1.00   2.00   4.00  10.00  20.00  10.00   2.00  10.00   5.00
 P     009 Douglas-fir - Western Hemlock - Western Redcedar / Vine Maple Forest, Clearcut          x   1.66  21.84   1.50   0.86   0.15   1.50   2.60   2.50   2.00   3.70   7.00   4.70   8.00  20.00
 P     010 Western Hemlock - Douglas-fir - Sitka Spruce Forest,                                    x   3.22  57.00   5.00   0.99   0.35   1.30   1.00   1.00   5.00  35.00   5.00   2.00  10.00   5.00
 P     011 Douglas-fir / Western Hemlock - Sitka Spruce Forest, Clearcut                           x   3.22  12.00   1.25   0.79   0.25   1.00   2.00   4.00   5.00   5.00   5.00   5.00   5.00   5.00
 PI    012 Red Fir - Mountain Hemlock - Lodgepole Pine - White Pine Forest,                        x   3.87  18.82   1.40   0.01   0.06   0.30   0.60   1.10   0.60   4.50   7.00   0.50   3.60   5.00
 P     013 Mountain Hemlock - Pacific Silver Fir Forest, Wildfire                                  x   0.65  17.52   1.60   0.39   0.20   0.40   0.60   1.00  13.00   4.00   7.00   3.00   1.00   7.00
 P     014 Black Oak Woodland,                                                                     x   3.11   2.64   0.50   0.09   0.10   0.25   0.50   0.90   1.25   0.00   0.00   0.00   0.00   0.00
