# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    001 Black cottonwood -- Douglas-fir -- quaking aspen riparia                                x   1.61  37.00   2.00   2.70   0.20   0.20   0.80   3.50   0.50   0.50   0.00   3.00   4.00   5.00  22.94   5.74
 PI    002 Western hemlock -- western redcedar -- Douglas-fir fores                                x   1.57  45.75   3.00   3.76   0.16   1.00   2.00   4.00   2.00   3.00   6.00   1.00   3.00   4.00  16.83   4.21 WPH
 PI    003 Douglas-fir forest                                                                      x   2.16  36.72   2.55   1.42   0.31   2.50   3.50   3.60  10.70   0.00   0.00   2.50   0.00   0.00   7.32   1.83
 P     004 Douglas-fir / ceanothus forest                                                          x   2.27  11.00   1.50   5.91   0.60   0.20   0.30   3.80   0.00   0.00   0.00  12.00   7.00   4.50   3.01   0.75
 P     005 Douglas-fir -- white fir forest                                                         x   4.98  13.17   1.10   2.98   0.21   0.50   1.60   3.30   4.30   8.90   3.40   0.80   1.60   0.60  16.78   4.19
 P     006 Oregon white oak -- Douglas-fir forest                                                  x   1.28   4.18   0.30   2.78   0.70   0.10   0.40   0.80   2.60   2.20   0.00   0.30   0.70   0.70   9.79   2.45
 P     007 Douglas-fir -- sugar pine -- tanoak forest                                              x   1.27  19.21   1.30   0.87   0.02   1.00   3.20   1.90   0.60   0.70   1.70   4.90   5.40  14.20  15.44   3.86
 P     008 Western hemlock -- Douglas-fir -- western redcedar / vin                                x   3.08  69.30   5.00   1.69   0.02   1.00   2.00   4.00  10.00  20.00  10.00   2.00  10.00   5.00  13.63   3.41 WPH
 P     009 Douglas-fir -- western hemlock -- western redcedar / vin                                x   1.66  21.84   1.50   1.74   0.15   1.50   2.60   2.50   2.00   3.70   7.00   4.70   8.00  20.00   8.48   2.12 WPH
 P     010 Western hemlock -- Douglas-fir -- Sitka spruce forest                                   x   3.07  57.00   5.00   1.56   0.35   1.30   1.00   1.00   5.00  35.00   5.00   2.00  10.00   5.00  20.69   5.17 WPH
 P     011 Douglas-fir / western hemlock -- Sitka spruce forest                                    x   2.61  12.00   1.25   0.96   0.25   1.00   2.00   4.00   5.00   5.00   5.00   5.00   5.00   5.00   9.89   2.47 WPH
 PI    012 Red fir -- mountain hemlock -- lodgepole pine -- western                                x   3.29  18.82   1.40   0.03   0.06   0.30   0.60   1.10   0.60   4.50   7.00   0.50   3.60   5.00  13.06   3.26 WPH
 P     013 Mountain hemlock -- Pacific silver fir forest                                           x   0.49  17.52   1.60   1.17   0.20   0.40   0.60   1.00  13.00   4.00   7.00   3.00   1.00   7.00   3.42   0.86 WPH
 P     014 California black oak woodland                                                           x   1.87   2.64   0.50   0.29   0.10   0.25   0.50   0.90   1.25   0.00   0.00   0.00   0.00   0.00  15.71   3.93
 P     015 Jeffrey pine -- red fir -- white fir / greenleaf -- snow                                x   2.49  55.48   4.50   6.41   0.05   0.08   0.70   0.23   1.75   5.00   6.00   0.50   2.00   2.00  11.51   2.88
 P     016 Jeffrey pine -- ponderosa pine -- Douglas-fir -- Califor                                x   2.65  11.44   1.00   1.93   0.20   0.30   1.40   1.80   0.80   2.50   0.00   0.70   2.50   0.00   6.70   1.68  PN
