# Changed species codes to the NRCS format May 17, 2012 - DCL
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
ABAM    Abies amabilis -- Pacific silver fir           1  26  2   01
ABBA    Abies balsamea -- Balsam fir                   1  10 1 34 02
ABBAB   Abies balsamea -- Balsam fir                   1  10 1 34 02
ABBAP   Abies balsamea -- Balsam fir                   1  10 1 34 02
ABLAL   Abies balsamea -- Balsam fir                   1  10 1 34 02
ABCO    Abies concolor -- White fir                   10  27 12   02 WF
ABCOC   Abies concolor -- White fir                   10  27 12   02 WF
ABLO    Abies lowiana -- Sierra white fir             10  27 12   02 WF
ABGR    Abies grandis -- Grand fir                    11  25 12   03 SF
ABGRI2  Abies grandis -- Grand fir                    11  25 12   03 SF
ABGRG   Abies grandis -- Grand fir                    11  25 12   03 SF
ABGRI   Abies grandis -- Grand fir                    11  25 12   03 SF
ABGRJ   Abies grandis -- Grand fir                    11  25 12   03 SF
ABLA    Abies lasiocarpa -- Subalpine fir             11  20 12   04 SF
ABLAA   Abies lasiocarpa -- Corkbark fir              11  20 12   04 SF
ABLAL   Abies lasiocarpa -- Subalpine fir             11  20 12   04 SF
ABMA    Abies magnifica -- Red Fir                    16  18 12   05 RF
ABMAM   Abies magnifica -- California red fir         16  18 12   05 RF
ABMAS   Abies magnifica -- Shasta red fir             16  18 12   05 RF
ABMAC   Abies magnifica -- Shasta red fir             16  18 12   05 RF
ABMAS2  Abies magnifica -- Shasta red fir             16  18 12   05 RF
ABNO    Abies nobilis -- Noble Fir                     1  24  2   07
ABPR    Abies procera -- Noble Fir                     1  24  2   07
ABISPP  Abies species -- Firs                          1  30   34 02
ACBA3   Acer barbatum -- Southern sugar maple          1   8    4 21
ACBAL   Acer barbatum -- Southern sugar maple          1   8    4 21
ACBAV   Acer barbatum -- Southern sugar maple          1   8    4 21
ACLE    Acer leucoderme -- Chalk maple                 1   8    4 21
ACMA3   Acer macrophyllum -- Bigleaf maple             1   3  2   21
ACNE2   Acer negundo -- Boxelder                       1  13   34 21
ACNEA   Acer negundo -- Arizona boxelder               1  13   34 21
ACNEC2  Acer negundo -- California boxelder            1  13   34 21
ACNEC   Acer negundo -- California boxelder            1  13   34 21
ACNE12  Acer negundo -- Boxelder                       1  13   34 21
ACNEI   Acer negundo -- Boxelder                       1  13   34 21
ACNEN   Acer negundo -- Boxelder                       1  13   34 21
ACNEV2  Acer negundo -- Boxelder                       1  13   34 21
ACNET   Acer negundo -- Boxelder                       1  13   34 21
ACNEL   Acer negundo -- Boxelder                       1  13   34 21
ACNEV   Acer negundo -- Boxelder                       1  13   34 21
ACNI5   Acer nigrum -- Black maple                     1  14   34 21
ACNIP   Acer nigrum -- Black maple                     1  14   34 21
ACPE    Acer pensylvanicum -- Striped maple            1  24   34 21
ACRU    Acer rubrum -- Red maple                       1   7   34 21
ACRUD   Acer rubrum -- Drummond's maple                1   7   34 21
ACRUD2  Acer rubrum -- Drummond's maple                1   7   34 21
ACRUR   Acer rubrum -- Red maple                       1   7   34 21
ACRUT2  Acer rubrum -- Red maple                       1   7   34 21
