# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This file comes from DL's spread sheet - Sept 20 2012
# NOTE: this file now contains foliage and branch loads whereas the previous versions of this file did not
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    001 Black cottonwood -- Douglas-fir -- quaking aspen riparian fore                          x   1.54     37   0.17   1.15    0.2    0.2    0.8    0.5    0.5    0.5      0      3      4      5
 PI    002 Western hemlock -- western redcedar -- Douglas-fir forest                               x    1.5  45.75   0.25   3.29   0.16      1      2      2      2      3      6      1      3      4 WPH
 PI    003 Douglas-fir forest                                                                      x   2.26  36.72   0.21   0.64   0.31    2.5    3.5   10.7   10.7      0      0    2.5      0      0
 P     004 Douglas-fir / ceanothus forest                                                          x   2.27     11   0.12   2.96    0.6    0.2    0.3      0      0      0      0     12      7    4.5
 P     005 Douglas-fir -- white fir forest                                                         x   5.86  13.17   0.09   3.26   0.21    0.5    1.6    4.3    4.3    8.9    3.4    0.8    1.6    0.6
 P     006 Oregon white oak -- Douglas-fir forest                                                  x   1.47   4.18   0.03    1.1    0.7    0.1    0.4    2.6    2.6    2.2      0    0.3    0.7    0.7
 P     007 Douglas-fir -- sugar pine -- tanoak forest                                              x    1.2  19.21   0.11   0.45   0.02      1    3.2    0.6    0.6    0.7    1.7    4.9    5.4   14.2
 P     008 Western hemlock -- Douglas-fir -- western redcedar / vine mapl                          x      3   69.3   0.42   0.73   0.02      1      2     10     10     20     10      2     10      5 WPH
 P     009 Douglas-fir -- western hemlock -- western redcedar / vine mapl                          x   1.51  21.84   0.12   2.23   0.15    1.5    2.6      2      2    3.7      7    4.7      8     20 WPH
 P     010 Western hemlock -- Douglas-fir -- Sitka spruce forest                                   x      3     57   0.42   0.72   0.35    1.3      1      5      5     35      5      2     10      5 WPH
 P     011 Douglas-fir / western hemlock -- Sitka spruce forest                                    x      3     12    0.1   0.49   0.25      1      2      5      5      5      5      5      5      5 WPH
 PI    012 Red fir -- mountain hemlock -- lodgepole pine -- western white                          x   3.85  18.82   0.12   0.01   0.06    0.3    0.6    0.6    0.6    4.5      7    0.5    3.6      5 WPH
 P     013 Mountain hemlock -- Pacific silver fir forest                                           x    0.6  17.52   0.13   0.45    0.2    0.4    0.6     13     13      4      7      3      1      7 WPH
 P     014 California black oak woodland                                                           x   3.11   2.64   0.04    0.1    0.1   0.25    0.5   1.25   1.25      0      0      0      0      0
 P     015 Jeffrey pine -- red fir -- white fir / greenleaf -- snowbrush                           x   3.28  55.48   0.38   3.38   0.05   0.08    0.7   1.75   1.75      5      6    0.5      2      2
 P     016 Jeffrey pine -- ponderosa pine -- Douglas-fir -- California bl                          x   3.01  11.44   0.08   2.43    0.2    0.3    1.4    0.8    0.8    2.5      0    0.7    2.5      0  PN
 P     017 Red fir forest                                                                          x    4.8  54.64   0.38      0   0.06    0.9    3.1      1      1      1      1      1    0.8      0
 P     018 Douglas-fir / oceanspray forest                                                         x   0.89  10.54   0.07   0.15   0.17    0.4    0.8    1.1    1.1    2.7    6.3    0.9    0.8      0
 P     019 White fir -- giant sequoia -- sugar pine forest                                         x    3.6  26.18   0.18   0.05   0.01    0.5    1.5    0.5    0.5      4     19    0.7    2.5      8
 PI    020 Western juniper / curl-leaf mountain mahogany woodland                                  x   1.46    3.9   0.08   0.53   0.35   0.05    0.1      1      1      0      0      0      2      4
 I     021 Lodgepole pine forest                                                                   x    1.5    6.5   0.08      0   0.02    0.2      1      8      8    0.5      0    0.7    0.2      0
 I     022 Lodgepole pine forest                                                                   x   1.49     13   0.17      0    0.2    0.4    2.2    8.3    8.3    0.7    0.5    0.8    0.5    0.5
 I     023 Lodgepole pine forest                                                                   x   1.48    6.5   0.08   0.33   0.17    0.2    1.1    9.7    9.7    8.7      1    3.3    2.3      1
 I     024 Pacific ponderosa pine -- Douglas-fir forest                                            x   1.98   4.96   0.05      0    0.5    0.1    0.2      2      2    0.8      0    1.8    0.2    0.5  PN
 I     025 Pinyon -- Utah juniper forest                                                           x   1.19   6.32   0.09   0.23   0.05    0.3    0.5      1      1      1      0      0      0      0
 I     026 Interior ponderosa pine -- limber pine forest                                           x    2.4    4.5   0.04    1.7   0.08      0    0.1    0.3    0.3    2.9    9.4    0.4      0      0  PN
 I     027 Ponderosa pine -- two needle pinyon -- Utah juniper forest                              x   1.48   1.02   0.03   1.67    0.5    0.2    0.3      2      2      0      0      1      2      6  PN
 I     028 Ponderosa pine savanna                                                                  x   1.32   3.64   0.03   1.58    0.8   0.05    0.1    0.3    0.3    0.5      0    0.5      1      2  PN
 I     029 Interior ponderosa pine -- Engelmann spruce -- Douglas-fir for                          x    0.6  14.84   0.12    1.7    0.2      1    1.5      6      6     12      0      5     11      0  PN
 I     030 Turbinella oak -- alderleaf mountain mahogany shrubland                                 x   1.51   0.65   0.02   2.03    0.1    0.1    0.3      0      0      0      0      0      0      0  SG
 I     032 Ponderosa pine / pinyon pine -- Utah juniper forest                                     x    2.4   2.54   0.05   0.01      0    0.1    0.9    1.4    1.4      0      0    0.4    0.5    5.9  PN
 I     033 Gambel oak / big sagebrush shrubland                                                    x    2.8   1.72   0.03    0.3   0.23    0.2    0.2    0.2    0.2      0      0      0      0      0  SB
 I     034 Interior Douglas-fir -- interior ponderosa pine / gambel oak f                          x   1.78   9.75   0.08   0.88    0.2    0.1    1.5      2      2      3      5    1.8    1.7      0  PN
 P     036 California live oak -- blue oak woodland                                                x   1.08    4.3   0.08   1.58    0.4    0.5    0.5      1      1      1    0.2    0.2    0.2    0.2
 P     037 Ponderosa pine -- Jeffrey pine forest                                                   x   0.89   22.1   0.17   3.02   0.31    0.1      1    1.2    1.2    2.5      0    0.6    2.5      0  PN
 P     038 Douglas-fir -- madrone -- tanoak forest                                                 x   3.01    7.4   0.07   0.63    0.2      1      2      3      3      3      7      0      0      0
 P     039 Sugar pine -- Douglas-fir -- oak forest                                                 x    2.4   8.32   0.07   0.13    0.1    0.4    2.1    2.6    2.6    1.5      0    0.7    0.4      0
 I     040 Tobosa -- grama grassland                                                               x      0      0      0   0.65   0.08      0      0      0      0      0      0      0      0      0  GG
 PI    041 Idaho fescue -- bluebunch wheatgrass grassland                                          x   0.46      0      0      0   0.65      0      0      0      0      0      0      0      0      0  GG
 I     042 Quaking aspen / Engelmann spruce forest                                                 x   1.15  11.22   0.11   0.01    0.4    0.3    0.7      9      9    0.6      0      5      0      0
 I     043 Arizona white oak -- gray oak -- Emory oak woodland                                     x   0.89   2.08   0.03   0.36    0.5    0.1    0.4      1      1      0      0      0      0      0
 PI    044 Scrub oak chaparral shrubland                                                           x    6.2    0.6   0.01   4.52      0    0.5   0.25      0      0      0      0      0      0      0  SG
 I     045 Pine -- oak forest                                                                      x   4.46    3.9   0.08   0.83    0.1    0.4      1      4      4      1      0      3    0.5      0
 P     046 Chamise chaparral shrubland                                                             x    0.5   3.12   0.03   5.25      0    0.5      1      0      0      0      0      0      0      0  SG
 P     047 Redwood -- tanoak forest                                                                x      3   51.2   0.38   2.92    0.5    0.4      2      8      8     12      8      6      8      6
 P     048 Douglas-fir -- tanoak -- madrone -- California bay forest                               x   3.07     17   0.12   2.87    0.1    0.5      1      2      2    1.5    1.5      2      2      4
 P     049 Creosote bush shrubland                                                                 x   0.76      0      0   0.42    0.1    0.1    0.2      0      0      0      0      0      0      0  SG
 P     051 Coastal sage shrubland                                                                  x    9.3      0      0   3.48      0    0.1    0.1      0      0      0      0      0      0      0  SB
 P     052 Douglas-fir -- Pacific ponderosa pine / oceanspray forest                               x   2.08  14.28   0.09   0.22   0.21    0.4    0.9    0.4    0.4    1.1    0.6    0.4    2.4      0  PN
 P     053 Pacific ponderosa pine forest                                                           x   1.79   18.7   0.12      0   0.06    0.1    1.5      8      8      3      0      3    1.5      0  PN
 P     054 Douglas-fir -- white fir -- interior ponderosa pine forest                              x   2.42   26.6   0.17    0.1   0.11    0.3    2.4    0.5    0.5      3      4      1      3      4  PN
 I     055 Western juniper / sagebrush savanna                                                     x   0.27   0.39   0.02   0.45   0.61    0.2    0.4      0      0      0      0      0      0      0  SB
 I     056 Sagebrush shrubland                                                                     x   0.18      0      0   1.57   0.71      0      0      0      0      0      0      0      0      0  SB
 I     057 Wheatgrass -- cheatgrass grassland                                                      x   0.22      0      0      0   0.11      0      0      0      0      0      0      0      0      0  GG
 I     058 Western juniper / sagebrush savanna                                                     x    0.3      0      0   0.05   0.15      0      0      0      0      0      0      0      0      0  SB
 I     059 Subalpine fir -- Engelmann spruce -- Douglas-fir -- lodgepole                           x    0.9   43.8   0.27      1    0.3    0.5      1    6.3    6.3    3.9    0.3    6.3    3.9    0.3
 I     060 Sagebrush shrubland                                                                     x   3.45      0      0   0.34    0.2      0      0      0      0      0      0      0      0      0  SB
 I     061 Whitebark pine / subalpine fir forest                                                   x   2.32  15.68   0.11   0.43    0.2    0.1    0.4    4.4    4.4   13.6      0    5.4   19.5      0
 P     062 Huckleberry - heather shrublands                                                        x   1.25      0      0   1.19   0.11      0      0      0      0      0      0      0      0      0  SG
 P     063 Showy sedge -- alpine black sedge grassland                                             x   1.15      0      0      0   1.35      0      0      0      0      0      0      0      0      0  GG
 P     065 Purple tussockgrass -- California oatgrass grassland                                    x   1.15   2.34   0.02      0    1.8      0      0      0      0      0      0      0      0      0  GG
 I     066 Bluebunch wheatgrass -- bluegrass grassland                                             x   5.75  24.22   0.14   0.03   1.01      0      0      0      0      0      0      0      0      0  GG
 I     067 Interior ponderosa pine -- Douglas-fir forest                                           x   2.02   20.8   0.17    1.6   0.75    0.5    1.4      4      4      2      0    1.6      1      0  PN
 I     069 Western juniper / sagebrush -- bitterbrush shrubland                                    x   0.53   0.08   0.01   1.31    0.2    0.2    0.4      0      0      0      0      0      0      0  SB
 I     070 Subalpine fir -- lodgepole pine -- whitebark pine -- Engelmann                          x   2.38  14.04    0.1   1.11    0.2    0.3    1.2     12     12      7      0    8.7    5.5      0
 P     071 Ohia / Florida hopbush -- kupaoa forest                                                 x   3.67      0      0   2.05    0.6    0.4    0.5    0.4    0.4      0      0    0.5      0      0
 P     072 Ohia / uluhe forest                                                                     x   5.58      0      0    0.2    6.3    0.2    0.4      0      0      0      0      0      0      0
 P     073 Koa / pukiawe forest                                                                    x   5.44      0      0   0.27      3    0.9    1.4    0.1    0.1    0.1    0.1    0.1    0.1    0.1
 P     074 Mamani -- naio savanna                                                                  x   2.78      0      0   0.12   0.72    0.2    0.7    1.9    1.9      0      0    1.9      0      0
