# Version 5.9.1  - must be same number as the Fofem program's
#
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
ABAM    Abies amabilis -- Pacific Silver Fir           1  26  2   01
ABBA    Abies balsamea -- Balsam Fir                   1  10 1 34 02
ABCO    Abies concolor -- White Fir                   10  27 12   02 WF
ABGR    Abies grandis -- Grand Fir                    11  25 12   03 SF
ABLA    Abies lasiocarpa -- Subalpine Fir             11  20 12   04 SF
ABMA    Abies magnifica -- Red Fir                    16  18 12   05 RF
ABPR    Abies procera -- Noble Fir                     1  24  2   07
ABISPP  Abies species -- Firs                          1  30   34 02
ACEBAR  Acer barbatum -- Florida maple                 1   8    4 21
ACLE    Acer leucoderme -- Chalk maple                 1   8    4 21
ACMA3   Acer macrophyllum -- Bigleaf maple             1   3  2   21
ACENEG  Acer negundo -- Boxelder                       1  13   34 21
ACNI5   Acer nigrum -- Black maple                     1  14   34 21
ACPE    Acer pensylvanicum -- Striped maple            1  24   34 21
ACRU    Acer rubrum -- Red maple                       1   7   34 21
ACSA2   Acer saccharinum -- Silver maple               1  10   34 21
ACESACU Acer saccharum -- Sugar maple                  1  12   34 21
ACESPI  Acer spicatum -- Mountain maple                1  19   3  21
ACESPP  Acer species -- Maples                         1   8   34 21
AESGLA  Aesculus glabra -- Ohio buckeye                1  15   34 39
AEFL    Aesculus octandra -- Yellow buckeye            1  29   34 39
AILALT  Ailanthus altissima -- Ailanthus               1  29   34 39
ALRH2   Alnus rhombifolia -- White alder               1  35  2   23
ALRU2   Alnus rubra -- Red alder                       1   5  2   22
AMEARB  Amelanchier arborea -- Serviceberry            1  29   34 39
ARBMEN  Arbutus menziesii -- Pacific madrone           1  34  2   39
BETALL  Betula alleghaniensis -- Yellow birch          1  10   34 24
BETLEN  Betula lenta -- Sweet birch                    1   9    4 24
BETNIG  Betula nigra -- River Birch                    1   8   34 24
BETOCC  Betula occidentalis -- Water birch             1  29   34 24
BETPAP  Betula papyrifera -- Paper birch               1   6  234 24
BETSPP  Betula species  -- Birches                     1  12  234 24
CELOCC  Celtis occidentalis -- Hackberry               1  14   34 24
CARAQU  Carya aquatica -- Water hickory                1  19   34 39
CARCAR  Carpinus caroliniana -- American hornbeam      1   9   34 39
CARCOR  Carya cordiformis -- Bitternut hickory         1  16   34 39
CARGLA  Carya glabra -- Pignut hickory                 1  16   34 39
CARILL  Carya illinoensis -- Pecan                     1  15   34 39
CARLAC  Carya laciniosa -- Shellbark hickory           1  22   34 39
CAROVA  Carya ovata -- Shagbark hickory                1  19   34 39
CARSPP  Carya species -- Hickories                     1  23   34 39
CARTEX  Carya texana -- Black hickory                  1  19    4 39
CARTOM  Carya tomentosa -- Mockernut hickory           1  22   34 39
CASCHR  Castanopsis chrysophylla -- Golden chinkapin   1  24  2   25
CASDEN  Castanea dentata -- American chestnut          1  19   3  39
CATSPP  Catalpa species -- Catalpas                    1  16    4 39
CELLAE  Celtis laevigata -- Sugarberry                 1  15   34 39
CERCAN  Cercis canadensis -- Eastern redbud            1  14   34 39
CHALAW  Chamaecyparis lawsoniana -- PortOrford-cedar   1  39  2   09
CHANOO  Chamaecyparis nootkatenis -- Alaska-cedar      1   2  2   09
CHATHY  Chamaecyparis thyoides -- Atlantic white-cedar 1   4   34 09
CORFLO  Cornus florida -- Flowering dogwood            1  20   34 34
CORNUT  Cornus nuttallii -- Pacific dogwood            1  35  2   34
CORSPP  Cornus species -- Dogwoods                     1  10   34 34
CRADOU  Crataegus douglasii -- Black hawthorn          1  17    4 35
CRASPP  Crataegus species -- Hawthorns                 1  35  2   35
CRASPP  Crataegus species -- Hawthorns                 1  17   34 35
DIOVIR  Diospyros virginiana -- Persimmon              1  20   34 39
FAGGRA  Fagus grandifolia -- American beech            1   4   34 39
FRAAMA  Fraxinus americana -- White ash                1  21   34 39
FRANIG  Fraxinus nigra -- Black ash                    1  14   34 39
FRAPEN  Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRAPRO  Fraxinus profunda -- Pumpkin ash               1  16   34 39
FRAQUA  Fraxinus quadrangulata -- Blue ash             1   9   34 39
FRASPP  Fraxinus species -- Ashes                      1  21   34 39
GLETRI  Gleditsia triacanthos -- Honeylocust           1  17   34 39
GORLAS  Gordonia lasianthus -- Loblolly-bay            1  17    4 39
GYMDIO  Gymnocladus dioicus -- Kentucky coffeetree     1  10   34 39
HALSPP  Halesia species -- Silverbells                 1  17    4 39
ILEOPA  Ilex opaca -- American holly                   1  21   34 39
JUGCIN  Juglans cinerea -- Butternut                   1  20   34 39
JUGNIG  Juglans nigra -- Black walnut                  1  20   34 39
JUNOCC  Juniperus occidentalis -- Western juniper      1   4  2   29
JUNSPP  Juniperus species -- Junipers/Redcedars        1  12   34 29
JUNVIR  Juniperus virginiana -- Eastern redcedar       1  17   34 18
LARLAR  Larix laricina -- Tamarack                     1  10   34 14
LARLYA  Larix lyallii -- Subalpine Larch               1  29  2   30
LAOC    Larix occidentalis -- Western Larch           14  36 12   14 WL
LIBDEC  Libocedrus decurrens -- Incense-cedar         12  34  2   18 IC
LIQSTY  Liquidambar styraciflua -- sweetgum            1  15   34 39
LIRTUL  Liriodendron tulipifera -- Yellow-poplar       1  20   34 39
LITDEN  Lithocarpus densiflorus -- Tanoak              1  30  2   39
MACPOM  Maclura pomifera -- Osage-orange               1  16    4 39
MAGACU  Magnolia acuminata -- Cucumbertree             1  15   34 39
MAGGRA  Magnolia grandiflora -- Southern magnolia      1  12    4 39
MAGMAC  Magnolia macrophylla -- Bigleaf magnolia       1  12    4 39
MAGSPP  Magnolia species -- Magnolias                  1  18   34 39
MAGVIR  Magnolia virginiana -- Sweetbay                1  19   34 39
MALPRU  Malus/Prunus species -- Apples/Cherries        1  17    4 39
MALSPP  Malus species -- Apples                        1  22   34 39
MORALB  Morus alba -- White mulberry                   1  17    4 39
MORRUB  Morus rubra -- Red mulberry                    1  17    4 39
MORSPP  Morus species -- Mulberries                    1  12   34 39
